Joueur,Nationalité,Buts,Passes D,Buts + Passes,Buts (hors pen),Penaltys Marqués,Penaltys Tentés,Cartons Jaunes,Cartons Rouges,Buts attendus (xG),xG hors penalty (npxG),Passes attendues (xAG),xG + xAG (buts + passes attendus),Prog. Portées,Prog. Passes,Prog. Réceptions
Adrien Thomasson,fr FRA,3.0,7.0,10.0,3.0,0.0,0.0,7.0,0.0,5.9,5.9,6.0,11.9,30.0,149.0,138.0
Facundo Medina,ar ARG,0.0,1.0,1.0,0.0,0.0,0.0,15.0,1.0,1.8,1.8,2.0,3.8,46.0,174.0,42.0
Andy Diouf,fr FRA,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.9,2.9,2.8,5.7,82.0,116.0,94.0
Jonathan Gradit,fr FRA,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,0.7,1.5,18.0,127.0,4.0
Florian Sotoca,fr FRA,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,4.6,4.6,1.5,6.1,44.0,105.0,170.0
Deiver Machado,co COL,1.0,4.0,5.0,1.0,0.0,0.0,7.0,2.0,2.3,2.3,2.1,4.3,42.0,45.0,80.0
Neil El Aynaoui,fr FRA,8.0,1.0,9.0,5.0,3.0,3.0,4.0,0.0,4.0,1.6,2.0,3.6,11.0,75.0,29.0
M'Bala Nzola,ao ANG,6.0,1.0,7.0,6.0,0.0,0.0,3.0,1.0,8.6,8.6,1.3,9.9,26.0,22.0,118.0
Anass Zaroury,ma MAR,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,1.7,1.7,2.9,4.6,49.0,65.0,107.0
Przemysław Frankowski,pl POL,4.0,2.0,6.0,2.0,2.0,2.0,3.0,0.0,2.3,0.7,2.5,3.2,33.0,117.0,95.0
Malang Sarr,fr FRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,4.0,54.0,1.0
Brice Samba,fr FRA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mathew Ryan,au AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruben Aguilar,fr FRA,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,1.9,2.7,32.0,74.0,101.0
Kevin Danso,at AUT,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,1.0,1.5,9.0,52.0,1.0
Goduine Koyalipou,cf CTA,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.8,4.8,0.8,5.6,15.0,20.0,68.0
Angelo Fulgini,fr FRA,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,2.4,2.4,3.8,6.2,29.0,69.0,113.0
Abdukodir Khusanov,uz UZB,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.2,0.2,0.3,0.6,2.0,43.0,6.0
Wesley Saïd,fr FRA,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,3.2,3.2,1.0,4.2,16.0,24.0,53.0
Juma Bah,sl SLE,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,3.0,9.0,1.0
Jhoanner Chávez,ec ECU,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.7,1.0,14.0,9.0,36.0
Nampalys Mendy,sn SEN,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,2.0,28.0,3.0
Rémy Labeau Lascary,gp GLP,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.5,2.5,1.1,3.6,17.0,7.0,71.0
Hervé Koffi,bf BFA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Costa,pt POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.2,0.4,1.6,14.0,24.0,20.0
Tom Pouilly,fr FRA,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.9,12.0,11.0,34.0
Kyllian Antonio,fr FRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,0.0,0.0
Hamzat Ojediran,ng NGA,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.6,0.6,0.4,1.0,4.0,22.0,2.0
Jeremy Agbonifo,se SWE,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.2,0.9,13.0,6.0,36.0
Martin Satriano,uy URU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,2.0,2.0,14.0
Rayan Fofana,fr FRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Gabin Capuano,fr FRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kembo Diliwidi,fr FRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Hervé Boua Dié,fr FRA,,,,,,,,,,,,,,,
Nidal Celik,ba BIH,,,,,,,,,,,,,,,
Adam Delplace,fr FRA,,,,,,,,,,,,,,,
Ismaëlo Ganiou,bf BFA,,,,,,,,,,,,,,,
Massadio Haïdara,ml MLI,,,,,,,,,,,,,,,
Ilan Jourdren,fr FRA,,,,,,,,,,,,,,,
Roman Karolewicz,fr FRA,,,,,,,,,,,,,,,
Oscar Lenne,fr FRA,,,,,,,,,,,,,,,
Denis Petrić,rs SRB,,,,,,,,,,,,,,,
Souleymane Sagnan,fr FRA,,,,,,,,,,,,,,,
